Motif,Pays Origine,Pays Destination,Distance,Facteur d'extrapolation
Accompagnement,Allemagne,Allemagne,7.1,10.2766889
Accompagnement,Allemagne,Allemagne,19.5,23.23207074
Accompagnement,Allemagne,Allemagne,1.5,30.59804831
Accompagnement,Allemagne,Allemagne,11.5,26.15305278
Accompagnement,Allemagne,Allemagne,9.7,8.957725391
Accompagnement,Allemagne,Allemagne,1.5,4.283352029
Accompagnement,Luxembourg,Allemagne,8.1,12.81959591
Accompagnement,Allemagne,Allemagne,14.5,9.665062741
Accompagnement,Luxembourg,Allemagne,36.9,7.207839727
Accompagnement,Luxembourg,Allemagne,42.6,23.73516243
Accompagnement,Luxembourg,Allemagne,40.6,6.861725636
Accompagnement,Allemagne,Allemagne,11.5,63.47302356
Accompagnement,Allemagne,Allemagne,1.5,22.47964567
Accompagnement,Luxembourg,Allemagne,54.1,22.42258347
Accompagnement,Luxembourg,Allemagne,54.9,23.23207074
Accompagnement,Allemagne,Allemagne,7.4,9.475873567
Accompagnement,Allemagne,Allemagne,1.5,10.13700728
Accompagnement,Allemagne,Allemagne,11.5,26.15305278
Accompagnement,Allemagne,Allemagne,10.5,8.457576615
Accompagnement,Allemagne,Allemagne,11.5,26.15305278
Accompagnement,Allemagne,Allemagne,1.5,33.56358684
Accompagnement,Allemagne,Allemagne,14.1,9.808696536
Accompagnement,Allemagne,Allemagne,11.5,8.241704166
Accompagnement,Allemagne,Allemagne,7.6,9.808696536
Accompagnement,Allemagne,Allemagne,9.7,9.808696536
Achats,Allemagne,Allemagne,11.5,23.23207074
Achats,Allemagne,Allemagne,25.7,6.541172605
Achats,Allemagne,Allemagne,9.7,9.808696536
Achats,Allemagne,Allemagne,11.5,10.13700728
Achats,Luxembourg,Allemagne,10.5,20.34723079
Achats,Luxembourg,Allemagne,13.1,9.905903122
Achats,Allemagne,Allemagne,11.5,92.27796851
Achats,Allemagne,Allemagne,13.4,9.210329411
Achats,Luxembourg,Allemagne,64.1,20.81844205
Achats,Allemagne,Allemagne,12,20.81844205
Achats,Allemagne,Allemagne,5.1,24.15071596
Achats,Allemagne,Allemagne,21.5,7.327531289
Achats,Allemagne,Allemagne,2.5,10.35652469
Achats,Allemagne,Allemagne,11.5,8.413308669
Achats,Allemagne,Allemagne,14.1,26.91964302
Achats,Luxembourg,Allemagne,19.7,10.53784599
Achats,Allemagne,Allemagne,11.5,26.15305278
Achats,Allemagne,Allemagne,9.7,9.808696536
Achats,Luxembourg,Allemagne,45.4,15.06912778
Achats,Allemagne,Allemagne,11.5,24.15071596
Achats,Luxembourg,Allemagne,40.9,59.32437011
Achats,Luxembourg,Allemagne,16.4,22.10852473
Achats,Allemagne,Allemagne,1.5,30.59804831
Achats,Luxembourg,Allemagne,71.2,7.714427645
Achats,Allemagne,Allemagne,7.1,4.270192076
Achats,Allemagne,Allemagne,9.7,7.923016939
Achats,Allemagne,Allemagne,7.1,7.96257163
Achats,Luxembourg,Allemagne,45.3,23.23207074
Achats,Allemagne,Allemagne,10.5,31.66908185
Achats,Luxembourg,Allemagne,39.7,18.83914711
Achats,Luxembourg,Allemagne,43.2,19.76780302
Achats,Allemagne,Allemagne,14.5,23.25380518
Autre,Allemagne,Allemagne,1.5,30.59804831
Autre,Allemagne,Allemagne,31.7,8.278309401
Autre,Allemagne,Allemagne,11.5,20.81844205
Autre,Allemagne,Allemagne,1.5,9.083852275
Autre,Allemagne,Allemagne,48.6,9.894071199
Autre,Allemagne,Allemagne,29.9,6.033302452
Autre,Luxembourg,Allemagne,28.4,9.028921181
Autre,Allemagne,Allemagne,11.3,6.291644649
Autre,Luxembourg,Allemagne,39,4.270192076
Autre,Luxembourg,Allemagne,43.1,23.73516243
Domicile,Luxembourg,Allemagne,8.4,8.420178693
Domicile,Luxembourg,Allemagne,28.2,36.02152541
Domicile,Luxembourg,Allemagne,17,55.21951489
Domicile,Allemagne,Allemagne,9.7,12.62332808
Domicile,Allemagne,Allemagne,20.7,4.970542274
Domicile,Luxembourg,Allemagne,37.2,8.010196945
Domicile,Luxembourg,Allemagne,70.1,26.91964302
Domicile,Luxembourg,Allemagne,27.9,10.13700728
Domicile,Luxembourg,Allemagne,43,12.01805116
Domicile,Luxembourg,Allemagne,25.4,10.21130924
Domicile,Luxembourg,Allemagne,49.6,12.62332808
Domicile,Luxembourg,Allemagne,50.3,6.94717731
Domicile,Luxembourg,Allemagne,23.1,9.808696536
Domicile,Luxembourg,Allemagne,33.1,89.40473397
Domicile,Luxembourg,Allemagne,19.7,9.083852275
Domicile,Luxembourg,Allemagne,80.4,14.78866002
Domicile,Luxembourg,Allemagne,42.1,9.94385424
Domicile,Allemagne,Allemagne,11.5,26.15305278
Domicile,Luxembourg,Allemagne,60.5,16.61889151
Domicile,Allemagne,Allemagne,15.6,11.7545274
Domicile,Luxembourg,Allemagne,28.5,21.63991134
Domicile,Luxembourg,Allemagne,33.7,16.63443908
Domicile,Luxembourg,Allemagne,96.7,7.747717749
Domicile,Luxembourg,Allemagne,33.6,12.10614074
Domicile,Luxembourg,Allemagne,12.7,8.237333182
Domicile,Allemagne,Allemagne,11.5,8.278309401
Domicile,Allemagne,Allemagne,9.7,9.808696536
Domicile,Luxembourg,Allemagne,16.8,4.192561886
Domicile,Luxembourg,Allemagne,22.5,14.58887149
Domicile,Luxembourg,Allemagne,53.5,19.66716074
Domicile,Luxembourg,Allemagne,18.7,5.604062
Domicile,Luxembourg,Allemagne,45,6.498761551
Domicile,Luxembourg,Allemagne,16.8,4.196484179
Domicile,Luxembourg,Allemagne,24.3,7.930027523
Domicile,Luxembourg,Allemagne,33.2,9.533197894
Domicile,Luxembourg,Allemagne,23,9.339861367
Domicile,Luxembourg,Allemagne,12,9.808696536
Domicile,Luxembourg,Allemagne,16.8,4.196484179
Domicile,Luxembourg,Allemagne,76.6,13.19581484
Domicile,Luxembourg,Allemagne,46.3,11.93508304
Domicile,Luxembourg,Allemagne,37.6,31.98307412
Domicile,Allemagne,Allemagne,11.5,10.13700728
Domicile,Luxembourg,Allemagne,8.6,20.27172008
Domicile,Luxembourg,Allemagne,45.3,24.15071596
Domicile,Luxembourg,Allemagne,12.1,3.444512218
Domicile,Luxembourg,Allemagne,96.7,6.121877351
Domicile,Luxembourg,Allemagne,21.6,6.861725636
Domicile,Luxembourg,Allemagne,22.6,9.150434849
Domicile,Allemagne,Allemagne,30,6.033302452
Domicile,Luxembourg,Allemagne,9.1,9.700104445
Domicile,Luxembourg,Allemagne,12.9,7.428648648
Domicile,Luxembourg,Allemagne,10.6,6.981860241
Domicile,Luxembourg,Allemagne,28.3,7.720619423
Domicile,Luxembourg,Allemagne,29,7.96257163
Domicile,Luxembourg,Allemagne,7.8,8.948082811
Domicile,Luxembourg,Allemagne,27,9.94385424
Domicile,Luxembourg,Allemagne,16.5,9.028921181
Domicile,Luxembourg,Allemagne,38.7,4.056775941
Domicile,Luxembourg,Allemagne,46.6,9.028921181
Domicile,Luxembourg,Allemagne,64.3,10.26226433
Domicile,Luxembourg,Allemagne,34.5,22.42258347
Domicile,Luxembourg,Allemagne,39.3,69.7483663
Domicile,Luxembourg,Allemagne,52.8,17.52963953
Domicile,Luxembourg,Allemagne,27.9,10.83072874
Domicile,Allemagne,Allemagne,432,9.905903122
Domicile,Luxembourg,Allemagne,16.8,3.756987815
Domicile,Luxembourg,Allemagne,20.5,3.927485636
Domicile,Luxembourg,Allemagne,102.3,8.733883675
Domicile,Luxembourg,Allemagne,4.3,3.559804842
Domicile,Luxembourg,Allemagne,17.1,3.636892599
Domicile,Luxembourg,Allemagne,16.8,4.056775941
Domicile,Luxembourg,Allemagne,53.8,6.605684923
Domicile,Luxembourg,Allemagne,46.8,6.981860241
Domicile,Luxembourg,Allemagne,49.4,7.754910278
Domicile,Luxembourg,Allemagne,40.4,9.364240594
Domicile,Luxembourg,Allemagne,19.7,10.14649082
Domicile,Luxembourg,Allemagne,39.3,16.15240869
Domicile,Luxembourg,Allemagne,90.1,16.88542956
Domicile,Luxembourg,Allemagne,30.3,23.23207074
Domicile,Luxembourg,Allemagne,46.8,23.73516243
Domicile,Luxembourg,Allemagne,45.3,27.54306147
Domicile,Luxembourg,Allemagne,10,8.420178693
Domicile,Luxembourg,Allemagne,48.8,9.808696536
Domicile,Allemagne,Allemagne,7.1,27.54306147
Domicile,Luxembourg,Allemagne,47.8,27.54306147
Domicile,Luxembourg,Allemagne,30.7,3.334734886
Domicile,Luxembourg,Allemagne,18.8,4.283352029
Domicile,Luxembourg,Allemagne,37.3,6.861725636
Domicile,Luxembourg,Allemagne,16.7,18.83914711
Domicile,Luxembourg,Allemagne,35.4,9.209022078
Domicile,Luxembourg,Allemagne,32.4,6.018515272
Domicile,Luxembourg,Allemagne,55.1,27.54306147
Domicile,Luxembourg,Allemagne,29.5,42.51700144
Domicile,Luxembourg,Allemagne,11.4,4.056775941
Domicile,Luxembourg,Allemagne,54.7,9.674092928
Domicile,Luxembourg,Allemagne,21.9,10.53784599
Domicile,Luxembourg,Allemagne,48.9,34.29040803
Domicile,Luxembourg,Allemagne,52.1,23.23207074
Domicile,Luxembourg,Allemagne,15,77.90760315
Domicile,Luxembourg,Allemagne,13.5,15.06912778
Domicile,Luxembourg,Allemagne,31.4,9.94385424
Domicile,Allemagne,Allemagne,1.5,4.220369535
Domicile,Luxembourg,Allemagne,25.7,9.552183305
Domicile,Luxembourg,Allemagne,77.2,17.44128706
Domicile,Luxembourg,Allemagne,30.6,18.7378207
Domicile,Luxembourg,Allemagne,41.8,34.29040803
Domicile,Allemagne,Allemagne,9.7,6.722567484
Domicile,Luxembourg,Allemagne,34.1,7.165437243
Domicile,Luxembourg,Allemagne,6.6,4.283352029
Domicile,Luxembourg,Allemagne,29,6.722567484
Domicile,Luxembourg,Allemagne,18.2,7.565636011
Domicile,Luxembourg,Allemagne,80.6,8.336624715
Domicile,Luxembourg,Allemagne,67.7,8.527906721
Domicile,Luxembourg,Allemagne,48,9.674092928
Domicile,Luxembourg,Allemagne,47.4,9.846376931
Domicile,Luxembourg,Allemagne,32.1,9.871908193
Domicile,Luxembourg,Allemagne,53,9.890879452
Domicile,Luxembourg,Allemagne,19.7,10.35652469
Domicile,Luxembourg,Allemagne,43,12.43864389
Domicile,Luxembourg,Allemagne,41.6,16.30396635
Domicile,Luxembourg,Allemagne,7.7,18.83914711
Domicile,Luxembourg,Allemagne,4,19.64014051
Domicile,Allemagne,Allemagne,11.5,22.47964567
Domicile,Luxembourg,Allemagne,27,26.15305278
Domicile,Luxembourg,Allemagne,44.5,31.95318077
Domicile,Luxembourg,Allemagne,6.6,33.43209073
Domicile,Luxembourg,Allemagne,49.8,4.283352029
Domicile,Luxembourg,Allemagne,23.1,6.291644649
Domicile,Luxembourg,Allemagne,24.1,14.48694364
Domicile,Luxembourg,Allemagne,69.1,20.93905209
Domicile,Luxembourg,Allemagne,26.1,12.10614074
Domicile,Luxembourg,Allemagne,43.3,22.47964567
Domicile,Luxembourg,Allemagne,75.2,8.559633618
Domicile,Luxembourg,Allemagne,7.7,17.84261444
Domicile,Luxembourg,Allemagne,7.3,21.86156461
Domicile,Luxembourg,Allemagne,72.6,21.89448599
Domicile,Allemagne,Allemagne,5.1,24.15071596
Domicile,Allemagne,Allemagne,9.7,9.209022078
Domicile,Luxembourg,Allemagne,19.8,17.84261444
Domicile,Allemagne,Allemagne,11.5,92.27796851
Domicile,Luxembourg,Allemagne,48.9,4.283352029
Domicile,Luxembourg,Allemagne,47.4,6.981860241
Domicile,Luxembourg,Allemagne,1.8,10.14649082
Domicile,Luxembourg,Allemagne,60.5,20.93905209
Domicile,Luxembourg,Allemagne,45.6,21.63991134
Domicile,Luxembourg,Allemagne,3.1,21.66015626
Domicile,Luxembourg,Allemagne,40.8,22.42258347
Domicile,Luxembourg,Allemagne,39,22.47964567
Domicile,Luxembourg,Allemagne,7.8,23.19793318
Domicile,Luxembourg,Allemagne,18.8,9.700104445
Domicile,Luxembourg,Allemagne,48.3,22.47964567
Domicile,Luxembourg,Allemagne,37.3,6.498761551
Domicile,Luxembourg,Allemagne,57.2,9.496091307
Domicile,Luxembourg,Allemagne,30.3,22.47964567
Domicile,Luxembourg,Allemagne,52.5,22.47964567
Domicile,Luxembourg,Allemagne,50.3,22.47964567
Domicile,Luxembourg,Allemagne,9,4.358344652
