time,SUSCEPTIBLE,INFECTED,EXPOSED,RECOVERED,DEAD
0,16099,10,0,0,0
1,16099,10,0,0,0
2,16099,10,0,0,0
3,16099,10,0,0,0
4,16099,10,0,0,0
5,16099,10,0,0,0
6,16099,10,0,0,0
7,16099,10,0,0,0
8,16098,10,1,0,0
9,16098,10,1,0,0
10,16098,10,1,0,0
11,16098,10,1,0,0
12,16098,10,1,0,0
13,16098,10,1,0,0
14,16098,10,1,0,0
15,16098,10,1,0,0
16,16098,10,1,0,0
17,16098,10,1,0,0
18,16098,10,1,0,0
19,16098,10,1,0,0
20,16098,10,1,0,0
21,16098,10,1,0,0
22,16098,10,1,0,0
23,16098,10,1,0,0
24,16098,10,1,0,0
25,16098,10,1,0,0
26,16098,10,1,0,0
27,16098,10,1,0,0
28,16098,10,1,0,0
29,16098,10,1,0,0
30,16098,10,1,0,0
31,16098,10,1,0,0
32,16098,10,1,0,0
33,16098,10,1,0,0
34,16098,10,1,0,0
35,16098,10,1,0,0
36,16098,10,1,0,0
37,16098,10,1,0,0
38,16098,10,1,0,0
39,16098,10,1,0,0
40,16098,10,1,0,0
41,16098,10,1,0,0
42,16098,10,1,0,0
43,16098,10,1,0,0
44,16098,10,1,0,0
45,16098,10,1,0,0
46,16098,10,1,0,0
47,16098,10,1,0,0
48,16098,10,1,0,0
49,16098,10,1,0,0
50,16097,10,2,0,0
51,16097,10,2,0,0
52,16097,10,2,0,0
53,16097,10,2,0,0
54,16097,10,2,0,0
55,16097,10,2,0,0
56,16097,10,2,0,0
57,16097,10,2,0,0
58,16097,10,2,0,0
59,16097,10,2,0,0
60,16097,10,2,0,0
61,16097,10,2,0,0
62,16097,10,2,0,0
63,16097,10,2,0,0
64,16097,10,2,0,0
65,16097,10,2,0,0
66,16097,10,2,0,0
67,16097,10,2,0,0
68,16097,10,2,0,0
69,16097,10,2,0,0
70,16097,10,2,0,0
71,16097,10,2,0,0
72,16097,10,2,0,0
73,16097,10,2,0,0
74,16097,10,2,0,0
75,16097,10,2,0,0
76,16097,10,2,0,0
77,16097,10,2,0,0
78,16097,10,2,0,0
79,16097,10,2,0,0
80,16097,10,2,0,0
81,16097,10,2,0,0
82,16097,10,2,0,0
83,16097,10,2,0,0
84,16097,10,2,0,0
85,16097,10,2,0,0
86,16097,10,2,0,0
87,16097,10,2,0,0
88,16097,10,2,0,0
89,16097,10,2,0,0
