time,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
0,403406,1950,0,0,0,0,0,0,0
1,403406,1950,0,0,0,0,0,0,0
2,403406,1950,0,0,0,0,0,0,0
3,403406,1950,0,0,0,0,0,0,0
4,403406,1950,0,0,0,0,0,0,0
5,403406,1950,0,0,0,0,0,0,0
6,403406,1950,0,0,0,0,0,0,0
7,403406,1950,0,0,0,0,0,0,0
8,403406,1950,0,0,0,0,0,0,0
9,403406,1950,0,0,0,0,0,0,0
10,403406,1950,0,0,0,0,0,0,0
11,403406,1950,0,0,0,0,0,0,0
12,403406,1950,0,0,0,0,0,0,0
13,403406,1950,0,0,0,0,0,0,0
14,403406,1950,0,0,0,0,0,0,0
15,403406,1950,0,0,0,0,0,0,0
16,403406,1950,0,0,0,0,0,0,0
17,403406,1950,0,0,0,0,0,0,0
18,403406,1950,0,0,0,0,0,0,0
19,403406,1950,0,0,0,0,0,0,0
20,403406,1950,0,0,0,0,0,0,0
21,403406,1950,0,0,0,0,0,0,0
22,403406,1950,0,0,0,0,0,0,0
23,403406,1950,0,0,0,0,0,0,0
24,403406,1950,0,0,0,0,0,0,0
25,403406,1950,0,0,0,0,0,0,0
26,403406,1950,0,0,0,0,0,0,0
27,403406,1950,0,0,0,0,0,0,0
28,403406,1950,0,0,0,0,0,0,0
29,403406,1950,0,0,0,0,0,0,0
30,403406,1950,0,0,0,0,0,0,0
31,403406,1950,0,0,0,0,0,0,0
32,403406,1950,0,0,0,0,0,0,0
33,403406,1949,1,0,0,0,0,0,0
34,403406,1949,1,0,0,0,0,0,0
35,403406,1949,1,0,0,0,0,0,0
36,403406,1949,1,0,0,0,0,0,0
37,403406,1949,1,0,0,0,0,0,0
38,403406,1949,1,0,0,0,0,0,0
39,403406,1949,1,0,0,0,0,0,0
40,403406,1949,1,0,0,0,0,0,0
41,403406,1948,1,1,0,0,0,0,0
42,403406,1948,1,1,0,0,0,0,0
43,403406,1948,1,1,0,0,0,0,0
44,403406,1947,1,2,0,0,0,0,0
45,403406,1947,1,2,0,0,0,0,0
46,403406,1947,1,2,0,0,0,0,0
47,403406,1947,1,2,0,0,0,0,0
48,403406,1947,1,2,0,0,0,0,0
49,403406,1947,1,2,0,0,0,0,0
50,403406,1947,1,2,0,0,0,0,0
51,403406,1947,1,2,0,0,0,0,0
52,403406,1947,1,2,0,0,0,0,0
53,403406,1947,1,2,0,0,0,0,0
54,403406,1946,1,3,0,0,0,0,0
55,403406,1945,2,3,0,0,0,0,0
56,403406,1945,2,3,0,0,0,0,0
57,403406,1945,2,3,0,0,0,0,0
58,403406,1945,2,3,0,0,0,0,0
59,403406,1945,2,3,0,0,0,0,0
60,403406,1945,2,3,0,0,0,0,0
61,403406,1945,2,3,0,0,0,0,0
62,403406,1945,2,3,0,0,0,0,0
63,403406,1945,2,3,0,0,0,0,0
64,403406,1944,2,4,0,0,0,0,0
65,403406,1944,2,4,0,0,0,0,0
66,403406,1943,3,4,0,0,0,0,0
67,403406,1942,4,4,0,0,0,0,0
68,403406,1942,4,4,0,0,0,0,0
69,403406,1941,5,4,0,0,0,0,0
70,403406,1940,5,5,0,0,0,0,0
71,403406,1939,5,6,0,0,0,0,0
72,403406,1938,5,7,0,0,0,0,0
73,403406,1937,6,7,0,0,0,0,0
74,403406,1936,7,7,0,0,0,0,0
75,403406,1936,7,7,0,0,0,0,0
76,403406,1936,7,7,0,0,0,0,0
77,403406,1935,8,7,0,0,0,0,0
78,403406,1935,8,7,0,0,0,0,0
79,403406,1934,9,7,0,0,0,0,0
80,403406,1932,9,9,0,0,0,0,0
81,403406,1931,10,9,0,0,0,0,0
82,403406,1930,10,10,0,0,0,0,0
83,403406,1930,10,10,0,0,0,0,0
84,403406,1929,10,11,0,0,0,0,0
85,403406,1929,10,11,0,0,0,0,0
86,403406,1927,12,11,0,0,0,0,0
87,403406,1926,13,11,0,0,0,0,0
88,403406,1926,13,11,0,0,0,0,0
89,403406,1924,14,12,0,0,0,0,0
90,403406,1924,14,12,0,0,0,0,0
91,403406,1923,14,13,0,0,0,0,0
92,403406,1922,15,13,0,0,0,0,0
93,403406,1921,16,13,0,0,0,0,0
94,403406,1921,16,13,0,0,0,0,0
95,403405,1921,17,13,0,0,0,0,0
96,403405,1920,17,14,0,0,0,0,0
97,403405,1919,18,14,0,0,0,0,0
98,403405,1918,19,14,0,0,0,0,0
99,403405,1916,21,14,0,0,0,0,0
100,403405,1914,23,14,0,0,0,0,0
101,403405,1913,24,14,0,0,0,0,0
102,403405,1910,26,15,0,0,0,0,0
103,403405,1909,26,16,0,0,0,0,0
104,403405,1909,26,16,0,0,0,0,0
105,403405,1907,28,16,0,0,0,0,0
106,403405,1907,28,16,0,0,0,0,0
107,403405,1907,28,16,0,0,0,0,0
108,403404,1906,30,16,0,0,0,0,0
109,403404,1906,30,16,0,0,0,0,0
110,403404,1903,32,17,0,0,0,0,0
111,403404,1902,33,17,0,0,0,0,0
112,403404,1900,35,17,0,0,0,0,0
113,403404,1897,36,19,0,0,0,0,0
114,403404,1895,37,20,0,0,0,0,0
115,403404,1894,38,20,0,0,0,0,0
116,403404,1894,38,20,0,0,0,0,0
117,403404,1894,38,20,0,0,0,0,0
118,403404,1892,39,21,0,0,0,0,0
119,403404,1890,40,22,0,0,0,0,0
120,403404,1889,41,22,0,0,0,0,0
121,403404,1889,41,22,0,0,0,0,0
122,403403,1889,42,22,0,0,0,0,0
123,403403,1889,42,22,0,0,0,0,0
124,403403,1889,42,22,0,0,0,0,0
125,403403,1887,43,23,0,0,0,0,0
126,403403,1887,43,23,0,0,0,0,0
127,403403,1883,44,26,0,0,0,0,0
128,403401,1882,47,26,0,0,0,0,0
129,403400,1883,47,26,0,0,0,0,0
130,403399,1883,47,27,0,0,0,0,0
131,403398,1881,48,29,0,0,0,0,0
132,403397,1882,48,29,0,0,0,0,0
133,403397,1881,49,29,0,0,0,0,0
134,403397,1880,50,29,0,0,0,0,0
135,403397,1880,50,29,0,0,0,0,0
136,403396,1878,52,30,0,0,0,0,0
137,403396,1876,53,31,0,0,0,0,0
138,403396,1874,53,33,0,0,0,0,0
139,403396,1872,55,33,0,0,0,0,0
140,403395,1869,57,35,0,0,0,0,0
141,403395,1866,58,37,0,0,0,0,0
142,403395,1864,58,39,0,0,0,0,0
143,403394,1863,60,39,0,0,0,0,0
144,403394,1861,61,40,0,0,0,0,0
145,403393,1861,61,41,0,0,0,0,0
146,403392,1861,62,41,0,0,0,0,0
147,403392,1858,65,41,0,0,0,0,0
148,403392,1855,67,42,0,0,0,0,0
149,403392,1854,67,43,0,0,0,0,0
150,403392,1851,69,44,0,0,0,0,0
151,403392,1844,73,47,0,0,0,0,0
152,403392,1842,74,48,0,0,0,0,0
153,403392,1842,74,48,0,0,0,0,0
154,403392,1839,76,49,0,0,0,0,0
155,403392,1837,78,49,0,0,0,0,0
156,403391,1834,80,51,0,0,0,0,0
157,403391,1832,80,53,0,0,0,0,0
158,403391,1832,80,53,0,0,0,0,0
159,403391,1829,80,56,0,0,0,0,0
160,403391,1828,81,56,0,0,0,0,0
161,403391,1826,81,58,0,0,0,0,0
162,403391,1824,82,59,0,0,0,0,0
163,403391,1823,83,59,0,0,0,0,0
164,403389,1823,84,60,0,0,0,0,0
165,403389,1818,87,62,0,0,0,0,0
166,403387,1813,91,64,1,0,0,0,0
167,403387,1811,91,66,1,0,0,0,0
168,403387,1808,94,66,1,0,0,0,0
169,403387,1806,94,68,1,0,0,0,0
170,403385,1806,94,70,1,0,0,0,0
171,403385,1804,96,70,1,0,0,0,0
172,403385,1800,99,71,1,0,0,0,0
173,403383,1797,101,74,1,0,0,0,0
174,403382,1796,101,76,1,0,0,0,0
175,403382,1795,102,76,1,0,0,0,0
176,403382,1794,102,77,1,0,0,0,0
177,403382,1792,103,78,1,0,0,0,0
178,403380,1792,104,79,1,0,0,0,0
179,403380,1786,108,81,1,0,0,0,0
180,403380,1783,109,83,1,0,0,0,0
181,403379,1782,111,83,1,0,0,0,0
182,403378,1779,114,84,1,0,0,0,0
183,403378,1779,114,84,1,0,0,0,0
184,403378,1777,114,86,1,0,0,0,0
185,403378,1776,115,86,1,0,0,0,0
186,403377,1775,116,87,1,0,0,0,0
187,403377,1773,117,88,1,0,0,0,0
188,403376,1772,119,88,1,0,0,0,0
189,403374,1772,120,89,1,0,0,0,0
190,403373,1772,121,89,1,0,0,0,0
191,403372,1770,123,90,1,0,0,0,0
192,403371,1769,124,91,1,0,0,0,0
193,403371,1765,128,91,1,0,0,0,0
194,403371,1763,129,92,1,0,0,0,0
195,403371,1759,132,93,1,0,0,0,0
196,403371,1757,134,93,1,0,0,0,0
197,403369,1756,136,94,1,0,0,0,0
198,403369,1755,137,94,1,0,0,0,0
199,403368,1754,138,95,1,0,0,0,0
200,403368,1751,140,96,1,0,0,0,0
201,403367,1745,143,100,1,0,0,0,0
202,403366,1742,144,102,2,0,0,0,0
